Date of event_R,month_R,year_R,dow_R,monthyear_R,victims_isr_R,victims_pal_R,occurence_R,occurrence_pal_R,occurrence_t_y_R,occurrence_pal_t_y,lnvic_R,lnvic_pal_R,lnvic_t_y_R,lnvic_pal_y_R,gaza_war_R,occurrence_pal_1_R,occurrence_pal_2_7_R,occurrence_pal_8_14_R,occurrence_1_R,occurrence_2_7_R,occurrence_8_14_R
2011-12-14,12.0,2011.0,Wednesday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2011-12-15,12.0,2011.0,Thursday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
2011-12-16,12.0,2011.0,Friday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
2011-12-17,12.0,2011.0,Saturday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2011-12-18,12.0,2011.0,Sunday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2011-12-19,12.0,2011.0,Monday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2011-12-20,12.0,2011.0,Tuesday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2011-12-21,12.0,2011.0,Wednesday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2011-12-22,12.0,2011.0,Thursday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2011-12-23,12.0,2011.0,Friday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2011-12-24,12.0,2011.0,Saturday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2011-12-25,12.0,2011.0,Sunday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2011-12-26,12.0,2011.0,Monday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2011-12-27,12.0,2011.0,Tuesday,623,1.0,0.0,1.0,0.0,1,0,0.6931471805599453,0.0,0.6931471805599453,0.0,0,0,0,0,0,0,0
2011-12-28,12.0,2011.0,Wednesday,623,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.6931471805599453,0.0,0,0,0,0,1,0,0
2011-12-29,12.0,2011.0,Thursday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2011-12-30,12.0,2011.0,Friday,623,1.0,0.0,1.0,0.0,1,0,0.6931471805599453,0.0,0.6931471805599453,0.0,0,0,0,0,0,1,0
2011-12-31,12.0,2011.0,Saturday,623,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.6931471805599453,0.0,0,0,0,0,1,1,0
2012-01-01,1.0,2012.0,Sunday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-01-02,1.0,2012.0,Monday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-01-03,1.0,2012.0,Tuesday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-01-04,1.0,2012.0,Wednesday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
2012-01-05,1.0,2012.0,Thursday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
2012-01-06,1.0,2012.0,Friday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
2012-01-07,1.0,2012.0,Saturday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-01-08,1.0,2012.0,Sunday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-01-09,1.0,2012.0,Monday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-01-10,1.0,2012.0,Tuesday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-01-11,1.0,2012.0,Wednesday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-01-12,1.0,2012.0,Thursday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-01-13,1.0,2012.0,Friday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-01-14,1.0,2012.0,Saturday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-01-15,1.0,2012.0,Sunday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-01-16,1.0,2012.0,Monday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-01-17,1.0,2012.0,Tuesday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-01-18,1.0,2012.0,Wednesday,624,2.0,0.0,1.0,0.0,1,0,1.0986122886681098,0.0,1.0986122886681098,0.0,0,0,0,0,0,0,0
2012-01-19,1.0,2012.0,Thursday,624,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.0986122886681098,0.0,0,0,0,0,1,0,0
2012-01-20,1.0,2012.0,Friday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-01-21,1.0,2012.0,Saturday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-01-22,1.0,2012.0,Sunday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-01-23,1.0,2012.0,Monday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-01-24,1.0,2012.0,Tuesday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-01-25,1.0,2012.0,Wednesday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-01-26,1.0,2012.0,Thursday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-01-27,1.0,2012.0,Friday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-01-28,1.0,2012.0,Saturday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-01-29,1.0,2012.0,Sunday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-01-30,1.0,2012.0,Monday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-01-31,1.0,2012.0,Tuesday,624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-02-01,2.0,2012.0,Wednesday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-02-02,2.0,2012.0,Thursday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-02-03,2.0,2012.0,Friday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-02-04,2.0,2012.0,Saturday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-02-05,2.0,2012.0,Sunday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-02-06,2.0,2012.0,Monday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-02-07,2.0,2012.0,Tuesday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-02-08,2.0,2012.0,Wednesday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-02-09,2.0,2012.0,Thursday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-02-10,2.0,2012.0,Friday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-02-11,2.0,2012.0,Saturday,625,1.0,0.0,1.0,0.0,1,0,0.6931471805599453,0.0,0.6931471805599453,0.0,0,0,0,0,0,0,0
2012-02-12,2.0,2012.0,Sunday,625,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.6931471805599453,0.0,0,0,0,0,1,0,0
2012-02-13,2.0,2012.0,Monday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-02-14,2.0,2012.0,Tuesday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-02-15,2.0,2012.0,Wednesday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-02-16,2.0,2012.0,Thursday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-02-17,2.0,2012.0,Friday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-02-18,2.0,2012.0,Saturday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-02-19,2.0,2012.0,Sunday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-02-20,2.0,2012.0,Monday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-02-21,2.0,2012.0,Tuesday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-02-22,2.0,2012.0,Wednesday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-02-23,2.0,2012.0,Thursday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-02-24,2.0,2012.0,Friday,625,1.0,0.0,1.0,0.0,1,0,0.6931471805599453,0.0,0.6931471805599453,0.0,0,0,0,0,0,0,1
2012-02-25,2.0,2012.0,Saturday,625,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.6931471805599453,0.0,0,0,0,0,1,0,1
2012-02-26,2.0,2012.0,Sunday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-02-27,2.0,2012.0,Monday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-02-28,2.0,2012.0,Tuesday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-02-29,2.0,2012.0,Wednesday,625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-03-01,3.0,2012.0,Thursday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-03-02,3.0,2012.0,Friday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-03-03,3.0,2012.0,Saturday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-03-04,3.0,2012.0,Sunday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-03-05,3.0,2012.0,Monday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-03-06,3.0,2012.0,Tuesday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-03-07,3.0,2012.0,Wednesday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-03-08,3.0,2012.0,Thursday,626,1.0,0.0,1.0,0.0,1,0,0.6931471805599453,0.0,0.6931471805599453,0.0,0,0,0,0,0,0,1
2012-03-09,3.0,2012.0,Friday,626,6.0,0.0,1.0,0.0,1,0,1.9459101490553132,0.0,2.0794415416798357,0.0,0,0,0,0,1,0,1
2012-03-10,3.0,2012.0,Saturday,626,9.0,0.0,1.0,0.0,1,0,2.302585092994046,0.0,2.772588722239781,0.0,0,0,0,0,1,1,0
2012-03-11,3.0,2012.0,Sunday,626,3.0,0.0,1.0,0.0,1,0,1.3862943611198906,0.0,2.5649493574615367,0.0,0,0,0,0,1,1,0
2012-03-12,3.0,2012.0,Monday,626,6.0,0.0,1.0,0.0,1,0,1.9459101490553132,0.0,2.302585092994046,0.0,0,0,0,0,1,1,0
2012-03-13,3.0,2012.0,Tuesday,626,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.9459101490553132,0.0,0,0,0,0,1,1,0
2012-03-14,3.0,2012.0,Wednesday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-03-15,3.0,2012.0,Thursday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-03-16,3.0,2012.0,Friday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
2012-03-17,3.0,2012.0,Saturday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
2012-03-18,3.0,2012.0,Sunday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
2012-03-19,3.0,2012.0,Monday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
2012-03-20,3.0,2012.0,Tuesday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-03-21,3.0,2012.0,Wednesday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-03-22,3.0,2012.0,Thursday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-03-23,3.0,2012.0,Friday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-03-24,3.0,2012.0,Saturday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-03-25,3.0,2012.0,Sunday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-03-26,3.0,2012.0,Monday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-03-27,3.0,2012.0,Tuesday,626,1.0,0.0,1.0,0.0,1,0,0.6931471805599453,0.0,0.6931471805599453,0.0,0,0,0,0,0,0,0
2012-03-28,3.0,2012.0,Wednesday,626,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.6931471805599453,0.0,0,0,0,0,1,0,0
2012-03-29,3.0,2012.0,Thursday,626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-03-30,3.0,2012.0,Friday,626,1.0,0.0,1.0,0.0,1,0,0.6931471805599453,0.0,0.6931471805599453,0.0,0,0,0,0,0,1,0
2012-03-31,3.0,2012.0,Saturday,626,1.0,0.0,1.0,0.0,1,0,0.6931471805599453,0.0,1.0986122886681098,0.0,0,0,0,0,1,1,0
2012-04-01,4.0,2012.0,Sunday,627,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.6931471805599453,0.0,0,0,0,0,1,1,0
2012-04-02,4.0,2012.0,Monday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2012-04-03,4.0,2012.0,Tuesday,627,1.0,0.0,1.0,0.0,1,0,0.6931471805599453,0.0,0.6931471805599453,0.0,0,0,0,0,0,1,0
2012-04-04,4.0,2012.0,Wednesday,627,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.6931471805599453,0.0,0,0,0,0,1,1,1
2012-04-05,4.0,2012.0,Thursday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
2012-04-06,4.0,2012.0,Friday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
2012-04-07,4.0,2012.0,Saturday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
2012-04-08,4.0,2012.0,Sunday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
2012-04-09,4.0,2012.0,Monday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
2012-04-10,4.0,2012.0,Tuesday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
2012-04-11,4.0,2012.0,Wednesday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-04-12,4.0,2012.0,Thursday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-04-13,4.0,2012.0,Friday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-04-14,4.0,2012.0,Saturday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-04-15,4.0,2012.0,Sunday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-04-16,4.0,2012.0,Monday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-04-17,4.0,2012.0,Tuesday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2012-04-18,4.0,2012.0,Wednesday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-04-19,4.0,2012.0,Thursday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-04-20,4.0,2012.0,Friday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-04-21,4.0,2012.0,Saturday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-04-22,4.0,2012.0,Sunday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-04-23,4.0,2012.0,Monday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-04-24,4.0,2012.0,Tuesday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-04-25,4.0,2012.0,Wednesday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-04-26,4.0,2012.0,Thursday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-04-27,4.0,2012.0,Friday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-04-28,4.0,2012.0,Saturday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-04-29,4.0,2012.0,Sunday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-04-30,4.0,2012.0,Monday,627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-01,5.0,2012.0,Tuesday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-02,5.0,2012.0,Wednesday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-03,5.0,2012.0,Thursday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-04,5.0,2012.0,Friday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-05,5.0,2012.0,Saturday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-06,5.0,2012.0,Sunday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-07,5.0,2012.0,Monday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-08,5.0,2012.0,Tuesday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-09,5.0,2012.0,Wednesday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-10,5.0,2012.0,Thursday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-11,5.0,2012.0,Friday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-12,5.0,2012.0,Saturday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-13,5.0,2012.0,Sunday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-14,5.0,2012.0,Monday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-15,5.0,2012.0,Tuesday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-16,5.0,2012.0,Wednesday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-17,5.0,2012.0,Thursday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-18,5.0,2012.0,Friday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-19,5.0,2012.0,Saturday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-20,5.0,2012.0,Sunday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-21,5.0,2012.0,Monday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-22,5.0,2012.0,Tuesday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-23,5.0,2012.0,Wednesday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-24,5.0,2012.0,Thursday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2012-05-25,5.0,2012.0,Friday,628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
