start_date,disaster_group,disaster_type,total_deaths
2014-04-27,Natural,Storm,40.0
2014-04-30,Technological,Explosion (Miscellaneous),2.0
2014-08-24,Natural,Earthquake,1.0
2014-11-15,Natural,Storm,13.0
2015-01-06,Natural,Storm,15.0
2015-01-31,Natural,Storm,22.0
2015-02-16,Natural,Storm,10.0
2015-02-16,Natural,Storm,30.0
2015-03-03,Natural,Storm,13.0
2015-03-10,Technological,Air,11.0
2015-05-12,Technological,Rail,8.0
2015-05-23,Natural,Flood,32.0
2015-05-24,Natural,Flood,16.0
2015-08-13,Natural,Wildfire,4.0
2015-09-09,Natural,Wildfire,3.0
2015-09-13,Natural,Wildfire,4.0
2015-09-14,Natural,Flood,19.0
2015-10-01,Natural,Storm,25.0
2015-11-25,Natural,Storm,18.0
2015-12-15,Natural,Flood,31.0
2015-12-26,Natural,Storm,50.0
2016-01-14,Technological,Air,12.0
2016-01-23,Natural,Storm,50.0
2016-02-22,Natural,Storm,10.0
2016-03-04,Natural,Storm,7.0
2016-03-08,Natural,Flood,5.0
2016-04-16,Natural,Flood,9.0
2016-04-30,Natural,Flood,11.0
2016-05-21,Natural,Storm,9.0
2016-05-27,Natural,Flood,15.0
2016-06-22,Natural,Storm,25.0
2016-07-30,Technological,Air,16.0
2016-08-09,Natural,Flood,13.0
2016-10-08,Natural,Storm,49.0
2016-10-23,Technological,Road,13.0
2016-11-26,Natural,Storm,8.0
2016-12-02,Technological,Fire (Miscellaneous),36.0
2016-12-13,Natural,Storm,22.0
2017-01-18,Natural,Storm,24.0
2017-03-13,Natural,Storm,11.0
2017-04-28,Natural,Flood,20.0
2017-06-01,Natural,Wildfire,43.0
2017-07-10,Technological,Air,16.0
2017-07-15,Natural,Flood,10.0
2017-08-25,Natural,Storm,88.0
2017-09-10,Natural,Storm,97.0
2017-12-31,Natural,Storm,22.0
2018-01-03,Natural,Storm,22.0
2018-01-21,Natural,Storm,10.0
2018-03-01,Natural,Storm,9.0
2018-06-01,Natural,Wildfire,88.0
2018-07-27,Natural,Wildfire,14.0
2018-09-12,Natural,Storm,53.0
2018-10-06,Technological,Road,20.0
2018-10-10,Natural,Storm,49.0
2018-10-15,Natural,Flood,5.0
2019-01-11,Natural,Storm,13.0
2019-01-18,Natural,Storm,10.0
2019-01-29,Natural,Storm,22.0
2019-03-03,Natural,Storm,28.0
2019-03-14,Natural,Flood,5.0
2019-04-13,Natural,Storm,8.0
2019-06-21,Technological,Air,11.0
2019-08-28,Natural,Storm,10.0
2019-09-02,Technological,Water,67.0
2019-10-10,Natural,Wildfire,3.0
2019-11-27,Natural,Storm,10.0
2019-12-16,Natural,Storm,18.0
2020-01-10,Natural,Storm,10.0
2020-03-02,Natural,Storm,25.0
2020-04-10,Natural,Storm,38.0
2020-07-31,Natural,Storm,16.0
2020-08-16,Natural,Wildfire,32.0
2020-08-27,Natural,Storm,33.0
2020-09-11,Natural,Storm,8.0
2020-11-08,Natural,Storm,12.0
2020-11-10,Natural,Storm,11.0
